# File: 1_F_steel_200R_F_11_12_final_steel_consumption.csv
# Title: Final steel consumption by IEDC region, 1900-2008
# Units: Gg
# Description: Final steel consumption from the market for final products to the use phase
# Source: IEDC database (https://www.database.industrialecology.uni-freiburg.de/); Pauliuk et al. (2013), doi:10.1016/j.resconrec.2012.11.008
# Column types: ncccccccncccccncccccccccc
# ----------
id,dataset_name,aspect 1 : element,aspect 2 : commodity,aspect 3 : origin_process,aspect 4 : origin_region,aspect 5 : destination_process,aspect 6 : destination_region,aspect 7 : time,aspect 8 : ,aspect 9 : ,aspect 10 : ,aspect 11 : ,aspect 12 : ,value,unitcode,unitcode1,stats_array_1,stats_array_2,stats_array_3,stats_array_4,comment,reserve1,reserve2,reserve3
599758,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1900,,,,,,0,Gg,yr,No uncertainty,,,,,,,
599759,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1901,,,,,,0.000527207,Gg,yr,No uncertainty,,,,,,,
599760,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1902,,,,,,0.001054413,Gg,yr,No uncertainty,,,,,,,
599761,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1903,,,,,,0.00158162,Gg,yr,No uncertainty,,,,,,,
599762,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1904,,,,,,0.002108826,Gg,yr,No uncertainty,,,,,,,
599763,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1905,,,,,,0.002636033,Gg,yr,No uncertainty,,,,,,,
599764,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1906,,,,,,0.003163239,Gg,yr,No uncertainty,,,,,,,
599765,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1907,,,,,,0.003690446,Gg,yr,No uncertainty,,,,,,,
599766,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1908,,,,,,0.004217652,Gg,yr,No uncertainty,,,,,,,
599767,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1909,,,,,,0.004744859,Gg,yr,No uncertainty,,,,,,,
