# File: 1_F_steel_200R_F_5_6_finished_steel_production.csv
# Title: Finished steel production by IEDC region, 1900-2008
# Units: Gg
# Description: Finished steel production from steel forming to the finished steel market
# Source: IEDC database (https://www.database.industrialecology.uni-freiburg.de/); Pauliuk et al. (2013), doi:10.1016/j.resconrec.2012.11.008
# Column types: ncccccccncccccncccccccccc
# ----------
id,dataset_name,aspect 1 : element,aspect 2 : commodity,aspect 3 : origin_process,aspect 4 : origin_region,aspect 5 : destination_process,aspect 6 : destination_region,aspect 7 : time,aspect 8 : ,aspect 9 : ,aspect 10 : ,aspect 11 : ,aspect 12 : ,value,unitcode,unitcode1,stats_array_1,stats_array_2,stats_array_3,stats_array_4,comment,reserve1,reserve2,reserve3
488360,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1900,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488361,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1901,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488362,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1902,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488363,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1903,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488364,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1904,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488365,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1905,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488366,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1906,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488367,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1907,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488368,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1908,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488369,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1909,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488370,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1910,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488371,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1911,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488372,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1912,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488373,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1913,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488374,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1914,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488375,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1915,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488376,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1916,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488377,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1917,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488378,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1918,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488379,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1919,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488380,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1920,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488381,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1921,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488382,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1922,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488383,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1923,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488384,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1924,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488385,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1925,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488386,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1926,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488387,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1927,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488388,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1928,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488389,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1929,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488390,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1930,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488391,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1931,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488392,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1932,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488393,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1933,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488394,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1934,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488395,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1935,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488396,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1936,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488397,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1937,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488398,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1938,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488399,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1939,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488400,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1940,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488401,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1941,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488402,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1942,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488403,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1943,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488404,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1944,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488405,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1945,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488406,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1946,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488407,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1947,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488408,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1948,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488409,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1949,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488410,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1950,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488411,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1951,,,,,,0,Gg,yr,No uncertainty,,,,,,,
