# File:  A1323.MFA_SSP_subsector_lftm_parameter.csv
# Title: paramter for lifetime function with historical and perspective lifetime iron&steel stock (subsectored & scenarioed) (scenario for 2060)
# Units: NA
# Description:  paramter for lifetime function with historical and perspective lifetime iron&steel stock (subsectored & scenarioed) (scenario for 2060)(updated 2025-08-01)
# Column types: ccnnnn
# ----------
region,scenario,T_lft_scale,M_lft_scale,C_lft_scale,P_lft_scale
Africa_Eastern,SSP2,23.94444444,35.55555556,86.16666667,17.83333333
Africa_Northern,SSP2,25.25,37.5,100,18.75
Africa_Southern,SSP2,15.66666667,23.33333333,58.66666667,12
Africa_Western,SSP2,26.46153846,39.23076923,98.07692308,19.61538462
Argentina,SSP2,20,30,75,15
Australia_NZ,SSP2,24.18181818,35.90909091,89.81818182,18
Brazil,SSP2,20,30,75,15
Canada,SSP2,20,30,50,15
Central America and Caribbean,SSP2,24.13333333,35.83333333,89.63333333,17.96666667
Central Asia,SSP2,18.5,27.5,69,14
China,SSP2,22.33333333,33.33333333,60,16.66666667
Colombia,SSP2,20,30,75,15
EU-12,SSP2,13.8,21,52.6,10.6
EU-15,SSP2,23.76923077,35.38461538,84.61538462,17.69230769
Ukraine,SSP2,16.75,25,69,12.75
Europe_Non_EU,SSP2,23.5,35,81.25,17.5
European Free Trade Association,SSP2,27,40,100,20
India,SSP2,10,15,38,8
Indonesia,SSP2,20,30,75,15
Japan,SSP2,10,15,38,8
Mexico,SSP2,20,30,50,15
Middle East,SSP2,24.76470588,36.76470588,91.94117647,18.41176471
Pakistan,SSP2,20,30,75,15
Russia,SSP2,20,30,50,15
South Africa,SSP2,20,30,75,15
South America_Northern,SSP2,22.25,33.125,82.875,16.625
South America_Southern,SSP2,27,40,100,20
South Asia,SSP2,22.57142857,33.57142857,84,16.85714286
South Korea,SSP2,18.5,27.5,69,14
Southeast Asia,SSP2,23.54545455,35,92.09090909,17.54545455
Taiwan,SSP2,13.3,20,50,10
USA,SSP2,20,30,75,15
